Iteration,Loss,Perplexity,Accuracy
0,4.62625789642334,102.13115692138672,0.00703125
200,1.9784469604492188,7.231503486633301,0.41203125
400,1.818289041519165,6.1613078117370605,0.45625
600,1.7408573627471924,5.702230453491211,0.48046875
800,1.7449429035186768,5.725574493408203,0.48265625
1000,1.6871237754821777,5.4039154052734375,0.4978125
1200,1.6332238912582397,5.120355606079102,0.51203125
1400,1.6266422271728516,5.086765766143799,0.5159375
1600,1.6096736192703247,5.001178741455078,0.52109375
1800,1.6989803314208984,5.468369007110596,0.49
2000,1.6155979633331299,5.030895233154297,0.51515625
2200,1.6304197311401367,5.106017112731934,0.50578125
2400,1.6048789024353027,4.977256774902344,0.5209375
2600,1.666582703590393,5.294045448303223,0.5009375
2800,1.6054456233978271,4.980078220367432,0.52015625
3000,1.633506417274475,5.12180233001709,0.515625
3200,1.6470152139663696,5.191461086273193,0.50765625
3400,1.6264585256576538,5.085831165313721,0.5078125
3600,1.666324257850647,5.292677402496338,0.5053125
3800,1.604851484298706,4.9771199226379395,0.5253125